device_id,seq,timestamp,arrival_time,readings_count,readings
4017,16,1766598798,1766598798,10,24.1200008392334;23.93000030517578;25.3700008392334;29.84000015258789;28.959999084472656;21.959999084472656;24.3700008392334;26.920000076293945;25.049999237060547;28.790000915527344
4017,17,1766598799,1766598799,10,24.6299991607666;24.360000610351562;28.209999084472656;28.850000381469727;21.06999969482422;24.40999984741211;20.700000762939453;21.540000915527344;27.06999969482422;25.739999771118164
4017,18,1766598800,1766598800,10,20.299999237060547;28.510000228881836;21.719999313354492;21.969999313354492;24.450000762939453;27.610000610351562;22.850000381469727;26.149999618530273;20.700000762939453;29.68000030517578
4017,19,1766598801,1766598801,10,20.030000686645508;22.68000030517578;25.149999618530273;25.350000381469727;24.440000534057617;22.059999465942383;23.920000076293945;20.059999465942383;23.40999984741211;27.8799991607666
4017,20,1766598802,1766598802,10,27.719999313354492;28.020000457763672;20.540000915527344;27.690000534057617;23.309999465942383;27.40999984741211;21.65999984741211;26.459999084472656;29.350000381469727;21.040000915527344
4017,21,1766598803,1766598803,10,21.18000030517578;26.809999465942383;21.780000686645508;21.709999084472656;27.079999923706055;28.610000610351562;25.719999313354492;24.700000762939453;20.940000534057617;25.809999465942383
4017,22,1766598804,1766598804,10,20.190000534057617;20.350000381469727;20.530000686645508;21.190000534057617;24.549999237060547;22.420000076293945;29.469999313354492;28.510000228881836;26.3799991607666;21.309999465942383
4017,23,1766598805,1766598805,10,22.959999084472656;22.690000534057617;27.25;22.520000457763672;22.799999237060547;25.770000457763672;22.770000457763672;28.190000534057617;29.270000457763672;20.030000686645508
4017,24,1766598806,1766598806,10,25.110000610351562;21.09000015258789;23.549999237060547;25.1200008392334;22.530000686645508;27.170000076293945;25.020000457763672;21.100000381469727;23.350000381469727;28.200000762939453
4017,25,1766598807,1766598807,10,26.260000228881836;25.579999923706055;26.760000228881836;20.420000076293945;28.81999969482422;23.739999771118164;28.729999542236328;23.59000015258789;26.770000457763672;28.979999542236328
4017,26,1766598808,1766598808,10,20.639999389648438;24.799999237060547;24.079999923706055;23.639999389648438;26.670000076293945;23.90999984741211;23.040000915527344;29.079999923706055;21.489999771118164;26.809999465942383
4017,27,1766598809,1766598809,10,20.3799991607666;27.979999542236328;20.030000686645508;21.489999771118164;22.18000030517578;20.34000015258789;24.56999969482422;29.920000076293945;26.079999923706055;29.6299991607666
4017,28,1766598810,1766598810,10,29.809999465942383;25.8799991607666;26.530000686645508;29.40999984741211;28.06999969482422;22.229999542236328;23.15999984741211;29.84000015258789;29.309999465942383;24.75
